Image;Subject;liking;Mean;Variance;Skewness;Kurtosis;Centroid.X;Centroid.Y;Body.Height;Body.Width;Area;Lid.Height;Lid.Width
MaltDrink1;Subject 1;4;272,76;2005,11;-2,79;14,10;315,93;1066,91;608;1992;1021704;221;341
Soda1;Subject 1;5;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda13;Subject 1;6;291,21;2264,48;-2,25;8,26;348,42;1343,55;658;2501;1380145;219;294
Soda15;Subject 1;5;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 1;6;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 1;5;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 1;6;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
SportsDrink2;Subject 1;3;316,40;2129,79;-2,15;7,39;347,80;1273,26;694;2347;1383016;243;368
Tea2;Subject 1;4;300,11;1824,71;-1,98;6,47;328,90;1216,32;658;2268;1295848;199;369
Tea3;Subject 1;4;320,86;1872,37;-3,54;19,78;363,93;1129,61;683;2141;1313243;208;407
Water3;Subject 1;5;289,78;1658,92;-3,13;14,46;337,44;1313,68;625;2419;1321444;260;298
Water5;Subject 1;5;298,84;2127,93;-2,49;9,29;359,07;1286,20;643;2345;1305425;270;305
Water6;Subject 1;5;305,06;2462,56;-2,87;11,68;356,50;1014,56;668;1858;1056114;236;341
Water7;Subject 1;5;308,12;1989,42;-2,94;13,01;359,28;1315,67;689;2484;1494715;210;339
Water8;Subject 1;5;299,95;1716,89;-2,97;12,09;329,74;1337,44;642;2489;1386491;211;303
FruitJuices2;Subject 10;5;291,10;2368,70;-1,55;5,56;329,68;1329,46;657;2449;1338166;241;340
Soda1;Subject 10;5;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda10;Subject 10;4;256,62;2210,76;-2,28;9,65;307,98;1216,97;591;2225;1063841;239;284
Soda13;Subject 10;6;291,21;2264,48;-2,25;8,26;348,42;1343,55;658;2501;1380145;219;294
Soda14;Subject 10;6;264,71;2164,17;-1,72;6,28;331,30;1269,07;623;2347;1189440;207;285
Soda15;Subject 10;6;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 10;7;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 10;6;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 10;5;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
Soda4;Subject 10;5;259,32;1195,57;-2,11;8,38;315,57;1158,30;575;2145;1046874;200;283
Soda5;Subject 10;5;262,09;1734,04;-2,24;9,62;304,37;1142,70;586;2096;1032486;174;270
Soda6;Subject 10;7;271,11;1861,69;-2,68;12,52;325,46;1192,10;607;2218;1132965;218;317
Soda8;Subject 10;5;254,14;1555,61;-2,04;8,31;311,46;1284,56;583;2362;1120219;290;317
SportsDrink1;Subject 10;4;307,63;1402,47;-3,15;18,62;373,24;1227,80;671;2317;1373654;251;430
Tea2;Subject 10;4;300,11;1824,71;-1,98;6,47;328,90;1216,32;658;2268;1295848;199;369
Tea6;Subject 10;4;300,33;2266,18;-3,35;18,12;346,88;1292,68;660;2385;1345867;234;348
Tea7;Subject 10;5;312,52;1306,84;-3,84;24,84;355,35;1131,76;684;2134;1264023;241;423
Water2;Subject 10;5;296,96;4766,20;-0,94;2,46;365,53;1520,50;704;2681;1481021;285;338
Water7;Subject 10;6;308,12;1989,42;-2,94;13,01;359,28;1315,67;689;2484;1494715;210;339
FruitJuices6;Subject 11;6;283,96;2296,42;-2,22;7,38;332,97;1323,28;639;2422;1294794;220;306
MaltDrink2;Subject 11;3;249,10;1824,34;-2,98;14,63;286,16;823,87;557;1535;719357;218;341
