"Time","Bourse","Balance","Matiere","Prix"
"01/05/2024",7992.87,-13886,143.8,0
"01/04/2024",7984.93,-11270,144.2,0.5
"01/03/2024",8205.81,-1546,136.5,0.2
"01/02/2024",7927.43,-4471,132.8,0.9
"01/01/2024",7656.75,-3709,132.5,-0.2
"01/12/2023",7543.18,9127,133.4,0.1
"01/11/2023",7310.77,-328,132,-0.2
"01/10/2023",6885.65,-4527,127.7,0.1
"01/09/2023",7135.06,327,128.3,-0.5
"01/08/2023",7316.7,-5927,126.9,1
"01/07/2023",7497.78,-2853,128.6,0.1
"01/06/2023",7400.06,3451,127,0.2
"01/05/2023",7098.7,-9010,125.8,-0.1
"01/04/2023",7491.5,2342,130.7,0.6
"01/03/2023",7322.39,-4256,129.8,0.9
"01/02/2023",7267.93,-8040,131.4,1
"01/01/2023",7082.42,-8416,130.3,0.4
"01/12/2022",6473.76,12906,126.1,-0.1
"01/11/2022",6738.55,-3303,122.5,0.3
"01/10/2022",6266.77,-3626,123.1,1
"01/09/2022",5762.34,-2462,125.6,-0.6
"01/08/2022",6125.1,-8739,132.3,0.5
"01/07/2022",6448.5,-6417,132.1,0.3
"01/06/2022",5922.86,7026,140.2,0.7
"01/05/2022",6468.8,-12115,144.1,0.7
"01/04/2022",6533.77,-1975,152.9,0.4
"01/03/2022",6659.87,-4911,153.4,1.4
"01/02/2022",6658.83,-6617,143.2,0.8
"01/01/2022",6999.2,-871,137.8,0.3
"01/12/2021",7153.03,12380,132.4,0.2
"01/11/2021",6721.16,3240,127.6,0.4
"01/10/2021",6830.34,1398,131.4,0.4
"01/09/2021",6520.01,681,128.6,-0.2
"01/08/2021",6680.18,-465,132.8,0.6
"01/07/2021",6612.76,2492,134.7,0.1
"01/06/2021",6507.83,2136,135.8,0.1
"01/05/2021",6447.17,-7107,138.7,0.3
"01/04/2021",6269.48,-478,130.4,0.1
"01/03/2021",6067.23,-2631,123,0.6
"01/02/2021",5703.22,-4635,119.7,0
"01/01/2021",5399.21,-70,116.3,0.2
"01/12/2020",5551.41,9764,113.1,0.2
"01/11/2020",5518.55,-484,104.5,0.2
"01/10/2020",4594.24,-5082,100.9,0
"01/09/2020",4803.44,-4104,101.2,-0.5
"01/08/2020",4947.22,-4164,98.9,-0.1
"01/07/2020",4783.69,-6316,93.2,0.4
"01/06/2020",4935.99,-7001,91.1,0.1
"01/05/2020",4695.44,-10312,89.8,0.1
"01/04/2020",4572.18,-5322,85.4,0
"01/03/2020",4396.12,-3127,89.2,0.1
"01/02/2020",5309.9,-4537,92.1,0
"01/01/2020",5806.34,-6911,95,-0.4
"01/12/2019",5978.06,11077,94.2,0.4
"01/11/2019",5905.17,3874,91.5,0.1
"01/10/2019",5729.86,540,90.1,0
"01/09/2019",5677.79,2303,91,-0.3
"01/08/2019",5480.48,-1349,91.3,0.5
"01/07/2019",5518.9,2745,97.8,-0.2
"01/06/2019",5538.97,-537,96.4,0.2
"01/05/2019",5207.63,-1399,94.5,0.1
"01/04/2019",5586.41,285,95.7,0.3
"01/03/2019",5350.53,2331,93.5,0.8
"01/02/2019",5240.53,-3279,94.4,0
"01/01/2019",4992.72,-2058,91.3,-0.4
"01/12/2018",4730.69,9579,89.6,0
"01/11/2018",5003.92,-116,91.6,-0.2
"01/10/2018",5093.44,-2461,92.8,0.1
"01/09/2018",5493.49,191,89.7,-0.2
"01/08/2018",5406.85,-3224,91.1,0.5
"01/07/2018",5511.3,3921,94.2,-0.1
