"date","tx_incid","incid_hosp","incid_rea","incid_rad","incid_dchosp","dose1","dose2","dose3"
2021-01-01,137.043465346535,677,99,687,133,"1173","2","0"
2021-01-02,142.581188118812,646,101,285,157,"366","3","0"
2021-01-03,143.606534653465,657,101,224,116,"409","0","0"
2021-01-04,152.973366336634,1262,246,672,380,"2123","4","0"
2021-01-05,156.051485148515,1747,245,1474,346,"7758","5","0"
2021-01-06,155.945742574257,1438,234,1265,291,"12463","22","0"
2021-01-07,159.668415841584,1441,181,1362,277,"29472","20","0"
2021-01-08,185.739603960396,1445,245,1230,281,"37158","25","0"
2021-01-09,181.556336633663,944,143,885,171,"11217","9","0"
2021-01-10,181.158514851485,729,118,286,151,"6009","7","0"
2021-01-11,177.123564356436,1289,208,687,310,"39950","30","0"
2021-01-12,173.969702970297,1660,258,1362,362,"62151","25","0"
2021-01-13,173.159900990099,1588,208,1290,232,"65133","51","0"
2021-01-14,174.555148514851,1691,206,1143,283,"83113","197","0"
2021-01-15,177.196138613861,1634,249,1303,288,"69017","81","0"
2021-01-16,178.25396039604,1199,188,1007,196,"20217","72","0"
2021-01-17,178.459207920792,698,136,291,141,"10988","50","0"
2021-01-18,183.119900990099,1666,254,882,404,"85915","175","0"
2021-01-19,186.930693069307,1995,315,1622,373,"130610","201","0"
2021-01-20,188.920198019802,1911,292,1461,316,"137562","192","0"
2021-01-21,191.668613861386,1759,253,1327,358,"158416","193","0"
2021-01-22,193.858118811881,1861,270,1308,323,"121075","244","0"
2021-01-23,195.27603960396,1174,172,928,231,"38486","75","0"
2021-01-24,195.201089108911,918,175,246,172,"9748","114","0"
2021-01-25,195.873861386139,1773,299,769,449,"78247","1401","0"
2021-01-26,194.304455445545,2006,343,1486,352,"100385","3607","1"
2021-01-27,193.849603960396,1933,318,1441,351,"107259","6319","0"
2021-01-28,193.766930693069,1726,272,1362,348,"124369","16108","0"
2021-01-29,192.994554455446,1823,271,1304,356,"92191","18555","0"
2021-01-30,192.59900990099,1176,192,942,242,"29128","4484","0"
2021-01-31,192.928811881188,816,148,298,195,"5239","1864","0"
2021-02-01,191.651782178218,1750,318,939,456,"53144","22583","0"
2021-02-02,191.732871287129,2189,369,1601,404,"72326","37570","0"
2021-02-03,190.484554455446,1882,275,1592,358,"72316","39671","0"
2021-02-04,187.875346534653,1752,275,1537,360,"82086","54191","0"
2021-02-05,186.116435643564,1719,255,1590,296,"68244","47544","0"
2021-02-06,184.356930693069,1126,168,1147,191,"22990","11245","0"
2021-02-07,183.777821782178,790,160,291,171,"5195","5890","0"
2021-02-08,177.042871287129,1893,356,1043,460,"46849","48385","0"
2021-02-09,171.266336633663,1931,334,1764,439,"66027","77457","0"
2021-02-10,166.648712871287,1525,282,1430,297,"71032","82261","0"
2021-02-11,160.656138613861,1618,269,1673,371,"87297","104652","0"
2021-02-12,155.310297029703,1405,264,1561,320,"79344","75617","0"
2021-02-13,152.994653465347,1085,191,1089,199,"22386","19522","0"
2021-02-14,152.852376237624,651,113,280,167,"5079","7346","0"
2021-02-15,149.704356435644,1431,306,934,413,"38118","76706","0"
2021-02-16,148.461089108911,1857,323,1740,352,"50409","100045","0"
2021-02-17,148.76198019802,1559,311,1525,311,"50546","106445","20"
2021-02-18,151.14198019802,1490,262,1411,272,"69803","122951","0"
2021-02-19,154.220891089109,1543,309,1422,328,"65080","91913","1"
2021-02-20,155.81198019802,1029,195,1076,183,"18596","28604","0"
2021-02-21,156.032673267327,593,141,217,160,"3327","6124","0"
2021-02-22,159.873564356436,1529,274,823,334,"37506","73168","2"
2021-02-23,161.572277227723,1780,345,1575,314,"53790","85159","1"
2021-02-24,162.744158415842,1636,319,1396,278,"60025","82665","1"
2021-02-25,163.283762376238,1454,301,1444,261,"100595","91446","1"
2021-02-26,161.74603960396,1634,303,1488,286,"113484","70768","1"
2021-02-27,161.312079207921,1007,208,938,186,"52122","22379","1"
2021-02-28,161.100396039604,728,164,297,122,"6207","4138","2"
2021-03-01,158.301584158416,1393,347,857,379,"65922","53955","1"
2021-03-02,156.688811881188,1705,366,1541,301,"101403","67092","3"
2021-03-03,155.202772277228,1622,322,1413,326,"116542","65556","0"
2021-03-04,153.885346534653,1538,293,1424,295,"163646","72132","3"
2021-03-05,154.126732673267,1397,324,1255,239,"200944","62779","3"
2021-03-06,155.701881188119,1097,233,998,173,"207976","17510","3"
2021-03-07,155.817821782178,720,187,389,130,"121284","4258","1"
2021-03-08,157.855247524752,1584,381,840,360,"107164","49792","2"
