PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Census Regions,New England,2019,40,0.892224,0.969336,247,324,X,404,174,112,1261,254,130089
Census Regions,Mid-Atlantic,2019,40,1.78979,1.40929,1035,757,X,1086,288,314,3480,384,246932
Census Regions,East North Central,2019,40,0.953876,1.1228,504,331,X,646,132,118,1731,369,154168
Census Regions,West North Central,2019,40,1.22187,1.11919,203,125,X,313,46,26,713,194,63707
Census Regions,South Atlantic,2019,40,1.58528,1.53934,1825,1377,X,2060,454,343,6059,581,393611
Census Regions,East South Central,2019,40,1.66454,1.76177,665,496,X,764,131,90,2146,264,121809
Census Regions,West South Central,2019,40,2.23511,3.17554,1065,617,X,1173,201,123,3179,257,100109
Census Regions,Mountain,2019,40,1.38095,1.515,405,418,X,634,154,153,1764,293,116436
Census Regions,Pacific,2019,40,1.29745,1.21593,269,382,X,578,184,169,1582,300,130106
Census Regions,New England,2019,41,1.00194,1.12109,274,396,X,441,178,176,1465,260,130676
Census Regions,Mid-Atlantic,2019,41,1.75772,1.44341,1085,758,X,1025,341,293,3502,384,242620
Census Regions,East North Central,2019,41,1.14002,1.32398,573,385,X,669,176,145,1948,374,147132
Census Regions,West North Central,2019,41,1.22843,1.19988,240,111,X,322,49,48,770,199,64173
Census Regions,South Atlantic,2019,41,1.59479,1.61537,1894,1488,X,1978,513,394,6267,587,387961
Census Regions,East South Central,2019,41,1.61221,1.73415,621,467,X,677,137,95,1997,262,115157
Census Regions,West South Central,2019,41,2.62245,3.43336,1133,671,X,1228,206,135,3373,256,98242
Census Regions,Mountain,2019,41,1.40414,1.53995,415,463,X,649,182,165,1874,298,121692
Census Regions,Pacific,2019,41,1.46281,1.36735,315,408,X,649,233,152,1757,304,128497
Census Regions,New England,2019,42,1.10858,1.23027,313,436,X,501,179,163,1592,264,129402
Census Regions,Mid-Atlantic,2019,42,2.04429,1.64939,1327,796,X,1127,379,325,3954,385,239725
Census Regions,East North Central,2019,42,1.15815,1.4092,679,398,X,739,179,136,2131,374,151221
Census Regions,West North Central,2019,42,1.32251,1.33185,276,154,X,382,52,44,908,198,68176
Census Regions,South Atlantic,2019,42,1.73905,1.72791,1971,1527,X,2032,512,418,6460,590,373861
Census Regions,East South Central,2019,42,1.81833,1.90913,692,532,X,734,157,96,2211,269,115812
Census Regions,West South Central,2019,42,2.71955,3.70868,1124,778,X,1355,227,133,3617,259,97528
Census Regions,Mountain,2019,42,1.55101,1.69282,551,493,X,671,217,177,2109,302,124585
Census Regions,Pacific,2019,42,1.56916,1.4469,340,434,X,736,208,157,1875,309,129587
Census Regions,New England,2019,43,1.08702,1.17995,318,400,X,513,187,153,1571,261,133141
Census Regions,Mid-Atlantic,2019,43,1.82836,1.64619,1290,866,X,1243,373,346,4118,390,250154
Census Regions,East North Central,2019,43,1.24582,1.48098,745,494,X,793,225,148,2405,388,162393
Census Regions,West North Central,2019,43,1.43764,1.37436,276,136,X,400,51,54,917,199,66722
Census Regions,South Atlantic,2019,43,1.84907,1.91029,2234,1752,X,2365,640,408,7399,598,387323
Census Regions,East South Central,2019,43,2.09995,2.18815,795,609,X,891,182,143,2620,271,119736
Census Regions,West South Central,2019,43,3.26723,4.28576,1297,895,X,1666,218,154,4230,262,98699
Census Regions,Mountain,2019,43,1.66957,1.81052,545,524,X,745,222,223,2259,301,124771
Census Regions,Pacific,2019,43,1.60405,1.45259,392,404,X,733,207,164,1900,310,130801
Census Regions,New England,2019,44,1.13812,1.23994,333,389,X,570,187,164,1643,270,132506
Census Regions,Mid-Atlantic,2019,44,1.96971,1.77799,1512,834,X,1291,355,343,4335,386,243814
Census Regions,East North Central,2019,44,1.30449,1.50853,725,493,X,834,193,144,2389,388,158366
Census Regions,West North Central,2019,44,1.51942,1.4236,284,136,X,372,54,46,892,198,62658
Census Regions,South Atlantic,2019,44,2.15067,2.00592,2429,1669,X,2558,600,414,7670,596,382369
Census Regions,East South Central,2019,44,2.29874,2.38799,860,633,X,1014,181,124,2812,274,117756
Census Regions,West South Central,2019,44,3.84193,5.2107,1522,1071,X,2020,295,189,5097,264,97818
Census Regions,Mountain,2019,44,1.76202,1.85661,549,501,X,703,223,172,2148,301,115695
Census Regions,Pacific,2019,44,1.74719,1.54793,444,417,X,706,191,166,1924,312,124295
Census Regions,New England,2019,45,1.29227,1.37738,390,456,X,662,162,140,1810,262,131409
Census Regions,Mid-Atlantic,2019,45,2.10414,2.0142,1832,894,X,1480,384,341,4931,395,244812
Census Regions,East North Central,2019,45,1.37394,1.57106,801,498,X,879,210,155,2543,394,161865
Census Regions,West North Central,2019,45,1.48667,1.47187,299,156,X,403,54,54,966,195,65631
Census Regions,South Atlantic,2019,45,2.58979,2.29798,2878,1956,X,2921,638,432,8825,603,384033
Census Regions,East South Central,2019,45,2.90489,3.06903,1128,856,X,1375,241,153,3753,275,122286
Census Regions,West South Central,2019,45,4.83373,6.58695,1921,1369,X,2941,338,190,6759,265,102612
Census Regions,Mountain,2019,45,2.252,2.19883,808,523,X,1030,196,207,2764,303,125703
Census Regions,Pacific,2019,45,2.00056,1.7894,500,474,X,860,230,171,2235,315,124902
Census Regions,New England,2019,46,1.38714,1.52182,463,470,X,681,197,136,1947,260,127939
Census Regions,Mid-Atlantic,2019,46,2.38134,2.14475,1910,943,X,1504,420,348,5125,382,238956
Census Regions,East North Central,2019,46,1.4314,1.61573,810,528,X,796,206,176,2516,394,155719
Census Regions,West North Central,2019,46,1.85457,1.82751,392,161,X,454,65,54,1126,200,61614
Census Regions,South Atlantic,2019,46,2.79259,2.59078,3121,2150,X,3196,721,477,9665,594,373053
Census Regions,East South Central,2019,46,3.35593,3.49128,1224,913,X,1576,313,165,4191,275,120042
Census Regions,West South Central,2019,46,5.14118,7.51507,2149,1620,X,3252,374,208,7603,256,101170
Census Regions,Mountain,2019,46,2.55126,2.56448,827,596,X,1238,223,211,3095,302,120687
Census Regions,Pacific,2019,46,2.24432,1.9282,550,523,X,974,220,193,2460,313,127580
Census Regions,New England,2019,47,1.49625,1.65193,537,515,X,744,227,153,2176,263,131725
Census Regions,Mid-Atlantic,2019,47,2.38979,2.23303,1960,1072,X,1713,506,353,5604,391,250960
Census Regions,East North Central,2019,47,1.49789,1.73305,869,532,X,997,223,172,2793,393,161161
Census Regions,West North Central,2019,47,1.84886,2.03405,450,151,X,548,52,51,1252,197,61552
